frame_id,object_id,class,x1,y1,x2,y2,velocity_m_s
220,1,Car,507,307,531,321,1.469
221,2,Car,748,301,795,334,10.428
221,1,Car,507,307,531,321,1.391
222,2,Car,747,301,794,335,9.091
222,1,Car,508,307,532,321,0.862
222,218,Car,0,313,58,338,0.000
223,2,Car,746,301,794,335,7.336
223,1,Car,508,307,532,321,0.771
224,2,Car,753,301,800,335,12.008
224,1,Car,508,306,533,321,0.818
225,2,Car,749,300,798,335,5.161
226,2,Car,748,300,798,336,2.571
226,228,Car,131,314,171,332,0.000
227,2,Car,748,299,799,335,1.355
227,228,Car,120,312,162,332,60.299
228,2,Car,749,298,802,335,3.534
228,228,Car,107,311,149,331,69.260
229,2,Car,750,298,803,335,5.301
229,228,Car,93,310,138,331,71.176
229,231,Car,182,309,224,327,0.000
230,2,Car,751,297,805,334,7.184
230,228,Car,78,310,125,332,74.311
230,231,Car,172,308,217,327,51.088
231,2,Car,752,297,806,335,2.744
231,228,Car,62,309,113,332,76.259
231,231,Car,161,307,209,327,54.083
232,2,Car,753,297,808,335,6.136
232,228,Car,45,309,98,333,79.525
232,231,Car,150,307,199,327,57.035
233,2,Car,756,299,811,336,9.010
233,228,Car,27,309,83,335,82.290
233,231,Car,137,308,187,329,61.505
234,2,Car,757,300,811,337,9.091
234,231,Car,124,309,176,331,63.645
234,218,Car,0,310,69,338,2.850
235,2,Car,757,300,812,338,8.006
235,231,Car,109,309,163,332,67.047
235,228,Car,0,309,54,337,85.503
236,2,Car,757,299,813,337,7.398
236,231,Car,93,308,150,333,69.890
236,228,Car,0,309,41,337,80.639
237,2,Car,757,298,814,336,6.556
237,231,Car,77,308,136,333,75.472
238,2,Car,758,297,815,336,6.443
238,231,Car,61,308,123,334,79.788
239,2,Car,759,297,816,336,6.015
239,231,Car,41,307,106,334,86.623
240,2,Car,762,297,820,337,6.443
240,231,Car,18,307,87,335,93.882
241,2,Car,769,297,826,337,11.643
241,218,Car,0,308,70,337,2.118
242,2,Car,771,298,828,338,12.886
242,218,Car,0,308,59,337,0.912
243,2,Car,775,298,830,338,15.000
244,2,Car,775,298,830,339,14.628
245,2,Car,770,300,826,340,10.304
246,2,Car,769,300,826,341,9.232
247,2,Car,775,300,831,341,10.714
248,2,Car,773,300,830,341,4.556
249,2,Car,780,301,835,341,7.323
250,2,Car,782,301,838,342,7.094
251,2,Car,779,300,836,341,4.616
252,2,Car,785,301,840,342,12.495
253,2,Car,789,301,843,342,15.880
254,2,Car,787,301,842,343,9.941
255,2,Car,783,301,840,343,8.667
256,2,Car,782,300,839,342,2.571
257,2,Car,782,300,840,342,0.958
258,2,Car,782,299,842,342,3.857
